scientificname,group,basetree 
Limnonectes bannaensis,Amphibians,amphibiantree
Limnonectes blythii,Amphibians,amphibiantree
Limnonectes dabanus,Amphibians,amphibiantree
Limnonectes dammermani,Amphibians,amphibiantree
Limnonectes diuatus,Amphibians,amphibiantree
Limnonectes doriae,Amphibians,amphibiantree
Limnonectes ferneri,Amphibians,amphibiantree
Limnonectes finchi,Amphibians,amphibiantree
Limnonectes fragilis,Amphibians,amphibiantree
Limnonectes fujianensis,Amphibians,amphibiantree
Limnonectes grunniens,Amphibians,amphibiantree
Limnonectes gyldenstolpei,Amphibians,amphibiantree
Limnonectes hascheanus,Amphibians,amphibiantree
Limnonectes heinrichi,Amphibians,amphibiantree
Limnonectes ibanorum,Amphibians,amphibiantree
Limnonectes ingeri,Amphibians,amphibiantree
Limnonectes isanensis,Amphibians,amphibiantree
Limnonectes jarujini,Amphibians,amphibiantree
Limnonectes kadarsani,Amphibians,amphibiantree
Limnonectes kenepaiensis,Amphibians,amphibiantree
Limnonectes khammonensis,Amphibians,amphibiantree
Limnonectes khasianus,Amphibians,amphibiantree
Limnonectes kohchangae,Amphibians,amphibiantree
Limnonectes kuhlii,Amphibians,amphibiantree
Limnonectes laticeps,Amphibians,amphibiantree
Limnonectes leporinus,Amphibians,amphibiantree
Limnonectes leytensis,Amphibians,amphibiantree
Limnonectes limborgi,Amphibians,amphibiantree
Limnonectes macrocephalus,Amphibians,amphibiantree
Limnonectes macrodon,Amphibians,amphibiantree
Limnonectes macrognathus,Amphibians,amphibiantree
Limnonectes magnus,Amphibians,amphibiantree
Limnonectes malesianus,Amphibians,amphibiantree
Limnonectes mawlyndipi,Amphibians,amphibiantree
Limnonectes megastomias,Amphibians,amphibiantree
Limnonectes micrixalus,Amphibians,amphibiantree
Limnonectes microdiscus,Amphibians,amphibiantree
Limnonectes microtympanum,Amphibians,amphibiantree
Limnonectes modestus,Amphibians,amphibiantree
Limnonectes namiyei,Amphibians,amphibiantree
Limnonectes nitidus,Amphibians,amphibiantree
Limnonectes palavanensis,Amphibians,amphibiantree
Limnonectes paramacrodon,Amphibians,amphibiantree
Limnonectes parvus,Amphibians,amphibiantree
Limnonectes plicatellus,Amphibians,amphibiantree
Limnonectes poilani,Amphibians,amphibiantree
Limnonectes rhacoda,Amphibians,amphibiantree
Limnonectes shompenorum,Amphibians,amphibiantree
Limnonectes sisikdagu,Amphibians,amphibiantree
Limnonectes taylori,Amphibians,amphibiantree
Limnonectes timorensis,Amphibians,amphibiantree
Limnonectes tweediei,Amphibians,amphibiantree
Limnonectes visayanus,Amphibians,amphibiantree
Limnonectes woodworthi,Amphibians,amphibiantree
Liophryne allisoni,Amphibians,amphibiantree
Liophryne dentata,Amphibians,amphibiantree
Liophryne magnitympanum,Amphibians,amphibiantree
Liophryne rhododactyla,Amphibians,amphibiantree
Liophryne rubra,Amphibians,amphibiantree
Liophryne schlaginhaufeni,Amphibians,amphibiantree
Liophryne similis,Amphibians,amphibiantree
Lissotriton boscai,Amphibians,amphibiantree
Lissotriton helveticus,Amphibians,amphibiantree
Lissotriton italicus,Amphibians,amphibiantree
Lissotriton montandoni,Amphibians,amphibiantree
Lissotriton vulgaris,Amphibians,amphibiantree
Lithodytes lineatus,Amphibians,amphibiantree
Litoria adelaidensis,Amphibians,amphibiantree
Litoria albolabris,Amphibians,amphibiantree
Litoria amboinensis,Amphibians,amphibiantree
Litoria andiirrmalin,Amphibians,amphibiantree
Litoria angiana,Amphibians,amphibiantree
Litoria arfakiana,Amphibians,amphibiantree
Litoria aruensis,Amphibians,amphibiantree
Litoria auae,Amphibians,amphibiantree
Litoria aurea,Amphibians,amphibiantree
Litoria aurifera,Amphibians,amphibiantree
Litoria axillaris,Amphibians,amphibiantree
Litoria barringtonensis,Amphibians,amphibiantree
Litoria becki,Amphibians,amphibiantree
Litoria biakensis,Amphibians,amphibiantree
Litoria bibonius,Amphibians,amphibiantree
Litoria bicolor,Amphibians,amphibiantree
Litoria booroolongensis,Amphibians,amphibiantree
Litoria brevipalmata,Amphibians,amphibiantree
Litoria brongersmai,Amphibians,amphibiantree
Litoria bulmeri,Amphibians,amphibiantree
Litoria burrowsi,Amphibians,amphibiantree
Litoria caerulea,Amphibians,amphibiantree
Litoria callista,Amphibians,amphibiantree
Litoria capitula,Amphibians,amphibiantree
Litoria castanea,Amphibians,amphibiantree
Litoria cavernicola,Amphibians,amphibiantree
Litoria chloris,Amphibians,amphibiantree
Litoria chloristona,Amphibians,amphibiantree
Litoria chloronota,Amphibians,amphibiantree
Litoria chrisdahli,Amphibians,amphibiantree
Litoria christianbergmanni,Amphibians,amphibiantree
Litoria citropa,Amphibians,amphibiantree
Litoria congenita,Amphibians,amphibiantree
Litoria contrastens,Amphibians,amphibiantree
Litoria cooloolensis,Amphibians,amphibiantree
Litoria coplandi,Amphibians,amphibiantree
Litoria corbeni,Amphibians,amphibiantree
Litoria cyclorhyncha,Amphibians,amphibiantree
Litoria dahlii,Amphibians,amphibiantree
Litoria darlingtoni,Amphibians,amphibiantree
Litoria daviesae,Amphibians,amphibiantree
Litoria dayi,Amphibians,amphibiantree
Litoria dentata,Amphibians,amphibiantree
Litoria dorsalis,Amphibians,amphibiantree
Litoria dorsivena,Amphibians,amphibiantree
Litoria dux,Amphibians,amphibiantree
Litoria electrica,Amphibians,amphibiantree
Litoria elkeae,Amphibians,amphibiantree
Litoria eschata,Amphibians,amphibiantree
Litoria eucnemis,Amphibians,amphibiantree
Litoria eurynastes,Amphibians,amphibiantree
Litoria everetti,Amphibians,amphibiantree
Litoria ewingii,Amphibians,amphibiantree
Litoria exophthalmia,Amphibians,amphibiantree
Litoria fallax,Amphibians,amphibiantree
Litoria flavescens,Amphibians,amphibiantree
Litoria freycineti,Amphibians,amphibiantree
Litoria fuscula,Amphibians,amphibiantree
Litoria gasconi,Amphibians,amphibiantree
Litoria genimaculata,Amphibians,amphibiantree
Litoria gilleni,Amphibians,amphibiantree
Litoria gracilenta,Amphibians,amphibiantree
Litoria graminea,Amphibians,amphibiantree
Litoria havina,Amphibians,amphibiantree
Litoria hilli,Amphibians,amphibiantree
Litoria humboldtorum,Amphibians,amphibiantree
Litoria hunti,Amphibians,amphibiantree
Litoria impura,Amphibians,amphibiantree
Litoria inermis,Amphibians,amphibiantree
Litoria infrafrenata,Amphibians,amphibiantree
Litoria iris,Amphibians,amphibiantree
Litoria jervisiensis,Amphibians,amphibiantree
Litoria jeudii,Amphibians,amphibiantree
Litoria jungguy,Amphibians,amphibiantree
Litoria kroombitensis,Amphibians,amphibiantree
Litoria kumae,Amphibians,amphibiantree
Litoria latopalmata,Amphibians,amphibiantree
Litoria lesueurii,Amphibians,amphibiantree
Litoria leucova,Amphibians,amphibiantree
Litoria littlejohni,Amphibians,amphibiantree
Litoria lodesdema,Amphibians,amphibiantree
Litoria longicrus,Amphibians,amphibiantree
Litoria longirostris,Amphibians,amphibiantree
Litoria lorica,Amphibians,amphibiantree
Litoria louisiadensis,Amphibians,amphibiantree
Litoria lutea,Amphibians,amphibiantree
Litoria macki,Amphibians,amphibiantree
Litoria majikthise,Amphibians,amphibiantree
Litoria mareku,Amphibians,amphibiantree
Litoria megalops,Amphibians,amphibiantree
Litoria meiriana,Amphibians,amphibiantree
Litoria microbelos,Amphibians,amphibiantree
Litoria micromembrana,Amphibians,amphibiantree
Litoria modica,Amphibians,amphibiantree
Litoria moorei,Amphibians,amphibiantree
Litoria mucro,Amphibians,amphibiantree
Litoria multicolor,Amphibians,amphibiantree
Litoria multiplica,Amphibians,amphibiantree
Litoria myola,Amphibians,amphibiantree
Litoria mystax,Amphibians,amphibiantree
Litoria nannotis,Amphibians,amphibiantree
Litoria napaea,Amphibians,amphibiantree
Litoria nasuta,Amphibians,amphibiantree
Litoria nigrofrenata,Amphibians,amphibiantree
Litoria nigropunctata,Amphibians,amphibiantree
Litoria nudidigita,Amphibians,amphibiantree
Litoria nyakalensis,Amphibians,amphibiantree
Litoria obtusirostris,Amphibians,amphibiantree
Litoria oenicolen,Amphibians,amphibiantree
Litoria ollauro,Amphibians,amphibiantree
Litoria olongburensis,Amphibians,amphibiantree
Litoria pallida,Amphibians,amphibiantree
Litoria paraewingi,Amphibians,amphibiantree
Litoria pearsoniana,Amphibians,amphibiantree
Litoria peronii,Amphibians,amphibiantree
Litoria personata,Amphibians,amphibiantree
Litoria phyllochroa,Amphibians,amphibiantree
Litoria piperata,Amphibians,amphibiantree
Litoria pratti,Amphibians,amphibiantree
Litoria pronimia,Amphibians,amphibiantree
Litoria prora,Amphibians,amphibiantree
Litoria purpureolata,Amphibians,amphibiantree
Litoria pygmaea,Amphibians,amphibiantree
Litoria quadrilineata,Amphibians,amphibiantree
Litoria raniformis,Amphibians,amphibiantree
Litoria rara,Amphibians,amphibiantree
Litoria revelata,Amphibians,amphibiantree
Litoria rheocola,Amphibians,amphibiantree
Litoria richardsi,Amphibians,amphibiantree
Litoria rivicola,Amphibians,amphibiantree
Litoria robinsonae,Amphibians,amphibiantree
Litoria rothii,Amphibians,amphibiantree
Litoria rubella,Amphibians,amphibiantree
Litoria rubrops,Amphibians,amphibiantree
Litoria sanguinolenta,Amphibians,amphibiantree
Litoria sauroni,Amphibians,amphibiantree
Litoria scabra,Amphibians,amphibiantree
Litoria serrata,Amphibians,amphibiantree
Litoria singadanae,Amphibians,amphibiantree
Litoria spartacus,Amphibians,amphibiantree
Litoria spenceri,Amphibians,amphibiantree
Litoria spinifera,Amphibians,amphibiantree
Litoria splendida,Amphibians,amphibiantree
Litoria staccato,Amphibians,amphibiantree
Litoria subglandulosa,Amphibians,amphibiantree
Litoria thesaurensis,Amphibians,amphibiantree
Litoria timida,Amphibians,amphibiantree
Litoria tornieri,Amphibians,amphibiantree
Litoria tyleri,Amphibians,amphibiantree
Litoria umarensis,Amphibians,amphibiantree
Litoria umbonata,Amphibians,amphibiantree
Litoria vagabunda,Amphibians,amphibiantree
Litoria verae,Amphibians,amphibiantree
Litoria verreauxii,Amphibians,amphibiantree
Litoria viranula,Amphibians,amphibiantree
Litoria vocivincens,Amphibians,amphibiantree
Litoria wapogaensis,Amphibians,amphibiantree
Litoria watjulumensis,Amphibians,amphibiantree
Litoria wilcoxii,Amphibians,amphibiantree
Litoria wisselensis,Amphibians,amphibiantree
Litoria wollastoni,Amphibians,amphibiantree
Litoria xanthomera,Amphibians,amphibiantree
Liua shihi,Amphibians,amphibiantree
Liua tsinpaensis,Amphibians,amphibiantree
Liuixalus hainanus,Amphibians,amphibiantree
Liuixalus ocellatus,Amphibians,amphibiantree
Liuixalus romeri,Amphibians,amphibiantree
Luetkenotyphlus brasiliensis,Amphibians,amphibiantree
Lyciasalamandra antalyana,Amphibians,amphibiantree
Lyciasalamandra arikani,Amphibians,amphibiantree
Lyciasalamandra atifi,Amphibians,amphibiantree
Lyciasalamandra billae,Amphibians,amphibiantree
Lyciasalamandra fazilae,Amphibians,amphibiantree
Lyciasalamandra flavimembris,Amphibians,amphibiantree
Lyciasalamandra helverseni,Amphibians,amphibiantree
Lyciasalamandra irfani,Amphibians,amphibiantree
Lyciasalamandra luschani,Amphibians,amphibiantree
Lyciasalamandra yehudahi,Amphibians,amphibiantree
Lynchius flavomaculatus,Amphibians,amphibiantree
Lynchius nebulanastes,Amphibians,amphibiantree
Lynchius parkeri,Amphibians,amphibiantree
Lynchius simmonsi,Amphibians,amphibiantree
Lysapsus boliviana,Amphibians,amphibiantree
Lysapsus caraya,Amphibians,amphibiantree
Lysapsus laevis,Amphibians,amphibiantree
Lysapsus limellum,Amphibians,amphibiantree
Macrogenioglottus alipioi,Amphibians,amphibiantree
Madecassophryne truebae,Amphibians,amphibiantree
Mannophryne caquetio,Amphibians,amphibiantree
Mannophryne collaris,Amphibians,amphibiantree
Mannophryne cordilleriana,Amphibians,amphibiantree
Mannophryne herminae,Amphibians,amphibiantree
Mannophryne lamarcai,Amphibians,amphibiantree
Mannophryne larandina,Amphibians,amphibiantree
Mannophryne leonardoi,Amphibians,amphibiantree
Mannophryne neblina,Amphibians,amphibiantree
Mannophryne oblitterata,Amphibians,amphibiantree
Mannophryne olmonae,Amphibians,amphibiantree
Mannophryne orellana,Amphibians,amphibiantree
Mannophryne riveroi,Amphibians,amphibiantree
Mannophryne speeri,Amphibians,amphibiantree
Mannophryne trinitatis,Amphibians,amphibiantree
Mannophryne trujillensis,Amphibians,amphibiantree
Mannophryne urticans,Amphibians,amphibiantree
Mannophryne venezuelensis,Amphibians,amphibiantree
Mannophryne vulcano,Amphibians,amphibiantree
Mannophryne yustizi,Amphibians,amphibiantree
Mantella aurantiaca,Amphibians,amphibiantree
Mantella baroni,Amphibians,amphibiantree
Mantella bernhardi,Amphibians,amphibiantree
Mantella betsileo,Amphibians,amphibiantree
Mantella cowanii,Amphibians,amphibiantree
Mantella crocea,Amphibians,amphibiantree
Mantella ebenaui,Amphibians,amphibiantree
Mantella expectata,Amphibians,amphibiantree
Mantella haraldmeieri,Amphibians,amphibiantree
Mantella laevigata,Amphibians,amphibiantree
Mantella madagascariensis,Amphibians,amphibiantree
Mantella manery,Amphibians,amphibiantree
Mantella milotympanum,Amphibians,amphibiantree
Mantella nigricans,Amphibians,amphibiantree
Mantella pulchra,Amphibians,amphibiantree
Mantella viridis,Amphibians,amphibiantree
Mantidactylus aerumnalis,Amphibians,amphibiantree
Mantidactylus albofrenatus,Amphibians,amphibiantree
Mantidactylus alutus,Amphibians,amphibiantree
Mantidactylus ambohimitombi,Amphibians,amphibiantree
Mantidactylus ambreensis,Amphibians,amphibiantree
Mantidactylus argenteus,Amphibians,amphibiantree
Mantidactylus bellyi,Amphibians,amphibiantree
Mantidactylus betsileanus,Amphibians,amphibiantree
Mantidactylus biporus,Amphibians,amphibiantree
Mantidactylus bourgati,Amphibians,amphibiantree
Mantidactylus brevipalmatus,Amphibians,amphibiantree
Mantidactylus charlotteae,Amphibians,amphibiantree
Mantidactylus cowanii,Amphibians,amphibiantree
Mantidactylus curtus,Amphibians,amphibiantree
Mantidactylus delormei,Amphibians,amphibiantree
Mantidactylus femoralis,Amphibians,amphibiantree
Mantidactylus grandidieri,Amphibians,amphibiantree
Mantidactylus guttulatus,Amphibians,amphibiantree
Mantidactylus lugubris,Amphibians,amphibiantree
Mantidactylus madecassus,Amphibians,amphibiantree
Mantidactylus majori,Amphibians,amphibiantree
Mantidactylus melanopleura,Amphibians,amphibiantree
Mantidactylus mocquardi,Amphibians,amphibiantree
Mantidactylus noralottae,Amphibians,amphibiantree
Mantidactylus opiparis,Amphibians,amphibiantree
Mantidactylus paidroa,Amphibians,amphibiantree
Mantidactylus pauliani,Amphibians,amphibiantree
Mantidactylus tricinctus,Amphibians,amphibiantree
Mantidactylus ulcerosus,Amphibians,amphibiantree
Mantidactylus zipperi,Amphibians,amphibiantree
Mantidactylus zolitschka,Amphibians,amphibiantree
Mantophryne axanthogaster,Amphibians,amphibiantree
Mantophryne infulata,Amphibians,amphibiantree
Mantophryne lateralis,Amphibians,amphibiantree
Mantophryne louisiadensis,Amphibians,amphibiantree
Megaelosia apuana,Amphibians,amphibiantree
Megaelosia bocainensis,Amphibians,amphibiantree
Megaelosia boticariana,Amphibians,amphibiantree
Megaelosia goeldii,Amphibians,amphibiantree
Megaelosia jordanensis,Amphibians,amphibiantree
Megaelosia lutzae,Amphibians,amphibiantree
Megaelosia massarti,Amphibians,amphibiantree
Megastomatohyla mixe,Amphibians,amphibiantree
Megastomatohyla mixomaculata,Amphibians,amphibiantree
Megastomatohyla nubicola,Amphibians,amphibiantree
Megastomatohyla pellita,Amphibians,amphibiantree
Megophrys ancrae,Amphibians,amphibiantree
Megophrys kobayashii,Amphibians,amphibiantree
Megophrys ligayae,Amphibians,amphibiantree
Megophrys megacephala,Amphibians,amphibiantree
Megophrys montana,Amphibians,amphibiantree
Megophrys nasuta,Amphibians,amphibiantree
Megophrys oropedion,Amphibians,amphibiantree
Megophrys stejnegeri,Amphibians,amphibiantree
Megophrys vegrandis,Amphibians,amphibiantree
Melanobatrachus indicus,Amphibians,amphibiantree
Melanophryniscus admirabilis,Amphibians,amphibiantree
Melanophryniscus alipioi,Amphibians,amphibiantree
Melanophryniscus atroluteus,Amphibians,amphibiantree
Melanophryniscus cambaraensis,Amphibians,amphibiantree
Melanophryniscus cupreuscapularis,Amphibians,amphibiantree
Melanophryniscus devincenzii,Amphibians,amphibiantree
Melanophryniscus dorsalis,Amphibians,amphibiantree
Melanophryniscus estebani,Amphibians,amphibiantree
Melanophryniscus fulvoguttatus,Amphibians,amphibiantree
Melanophryniscus klappenbachi,Amphibians,amphibiantree
Melanophryniscus krauczuki,Amphibians,amphibiantree
Melanophryniscus langonei,Amphibians,amphibiantree
Melanophryniscus macrogranulosus,Amphibians,amphibiantree
Melanophryniscus montevidensis,Amphibians,amphibiantree
Melanophryniscus moreirae,Amphibians,amphibiantree
Melanophryniscus orejasmirandai,Amphibians,amphibiantree
Melanophryniscus pachyrhynus,Amphibians,amphibiantree
Melanophryniscus paraguayensis,Amphibians,amphibiantree
Melanophryniscus peritus,Amphibians,amphibiantree
Melanophryniscus rubriventris,Amphibians,amphibiantree
Melanophryniscus sanmartini,Amphibians,amphibiantree
Melanophryniscus setiba,Amphibians,amphibiantree
Melanophryniscus simplex,Amphibians,amphibiantree
Melanophryniscus spectabilis,Amphibians,amphibiantree
Melanophryniscus stelzneri,Amphibians,amphibiantree
Melanophryniscus tumifrons,Amphibians,amphibiantree
Melanophryniscus vilavelhensis,Amphibians,amphibiantree
Mercurana myristicapalustris,Amphibians,amphibiantree
Meristogenys amoropalamus,Amphibians,amphibiantree
Meristogenys dyscritus,Amphibians,amphibiantree
Meristogenys jerboa,Amphibians,amphibiantree
Meristogenys kinabaluensis,Amphibians,amphibiantree
Meristogenys macrophthalmus,Amphibians,amphibiantree
Meristogenys maryatiae,Amphibians,amphibiantree
Meristogenys orphnocnemis,Amphibians,amphibiantree
Meristogenys phaeomerus,Amphibians,amphibiantree
Meristogenys poecilus,Amphibians,amphibiantree
Meristogenys stenocephalus,Amphibians,amphibiantree
Meristogenys stigmachilus,Amphibians,amphibiantree
Meristogenys whiteheadi,Amphibians,amphibiantree
Mertensiella caucasica,Amphibians,amphibiantree
Mertensophryne anotis,Amphibians,amphibiantree
Mertensophryne howelli,Amphibians,amphibiantree
Mertensophryne lindneri,Amphibians,amphibiantree
Mertensophryne lonnbergi,Amphibians,amphibiantree
Mertensophryne loveridgei,Amphibians,amphibiantree
Mertensophryne melanopleura,Amphibians,amphibiantree
Mertensophryne micranotis,Amphibians,amphibiantree
Mertensophryne mocquardi,Amphibians,amphibiantree
Mertensophryne nairobiensis,Amphibians,amphibiantree
Mertensophryne nyikae,Amphibians,amphibiantree
Mertensophryne schmidti,Amphibians,amphibiantree
Mertensophryne taitana,Amphibians,amphibiantree
Mertensophryne usambarae,Amphibians,amphibiantree
Mertensophryne uzunguensis,Amphibians,amphibiantree
Metacrinia nichollsi,Amphibians,amphibiantree
Metamagnusia marani,Amphibians,amphibiantree
Metamagnusia slateri,Amphibians,amphibiantree
Metaphrynella pollicaris,Amphibians,amphibiantree
Metaphrynella sundana,Amphibians,amphibiantree
Metaphryniscus sosai,Amphibians,amphibiantree
Micrixalus elegans,Amphibians,amphibiantree
Micrixalus fuscus,Amphibians,amphibiantree
Micrixalus gadgili,Amphibians,amphibiantree
Micrixalus kottigeharensis,Amphibians,amphibiantree
Micrixalus narainensis,Amphibians,amphibiantree
Micrixalus nudis,Amphibians,amphibiantree
Micrixalus phyllophilus,Amphibians,amphibiantree
Micrixalus saxicola,Amphibians,amphibiantree
Micrixalus silvaticus,Amphibians,amphibiantree
Micrixalus swamianus,Amphibians,amphibiantree
Micrixalus thampii,Amphibians,amphibiantree
Microbatrachella capensis,Amphibians,amphibiantree
Microcaecilia albiceps,Amphibians,amphibiantree
Microcaecilia dermatophaga,Amphibians,amphibiantree
Microcaecilia grandis,Amphibians,amphibiantree
Microcaecilia iyob,Amphibians,amphibiantree
Microcaecilia marvaleewakeae,Amphibians,amphibiantree
Microcaecilia rabei,Amphibians,amphibiantree
Microcaecilia rochai,Amphibians,amphibiantree
Microcaecilia savagei,Amphibians,amphibiantree
Microcaecilia supernumeraria,Amphibians,amphibiantree
Microcaecilia taylori,Amphibians,amphibiantree
Microcaecilia trombetas,Amphibians,amphibiantree
Microcaecilia unicolor,Amphibians,amphibiantree
Microhyla achatina,Amphibians,amphibiantree
Microhyla annamensis,Amphibians,amphibiantree
Microhyla annectens,Amphibians,amphibiantree
Microhyla berdmorei,Amphibians,amphibiantree
Microhyla borneensis,Amphibians,amphibiantree
Microhyla butleri,Amphibians,amphibiantree
Microhyla chakrapanii,Amphibians,amphibiantree
Microhyla erythropoda,Amphibians,amphibiantree
Microhyla fissipes,Amphibians,amphibiantree
Microhyla fowleri,Amphibians,amphibiantree
Microhyla fusca,Amphibians,amphibiantree
Microhyla heymonsi,Amphibians,amphibiantree
Microhyla karunaratnei,Amphibians,amphibiantree
Microhyla maculifera,Amphibians,amphibiantree
Microhyla malang,Amphibians,amphibiantree
Microhyla mantheyi,Amphibians,amphibiantree
Microhyla marmorata,Amphibians,amphibiantree
Microhyla mixtura,Amphibians,amphibiantree
Microhyla mukhlesuri,Amphibians,amphibiantree
Microhyla mymensinghensis,Amphibians,amphibiantree
Microhyla nanapollexa,Amphibians,amphibiantree
Microhyla okinavensis,Amphibians,amphibiantree
Microhyla orientalis,Amphibians,amphibiantree
Microhyla ornata,Amphibians,amphibiantree
Microhyla palmipes,Amphibians,amphibiantree
Microhyla perparva,Amphibians,amphibiantree
Microhyla petrigena,Amphibians,amphibiantree
Microhyla picta,Amphibians,amphibiantree
Microhyla pulchra,Amphibians,amphibiantree
Microhyla pulverata,Amphibians,amphibiantree
Microhyla rubra,Amphibians,amphibiantree
Microhyla sholigari,Amphibians,amphibiantree
Microhyla superciliaris,Amphibians,amphibiantree
Microhyla zeylanica,Amphibians,amphibiantree
Micryletta inornata,Amphibians,amphibiantree
Micryletta steinegeri,Amphibians,amphibiantree
Mimosiphonops reinhardti,Amphibians,amphibiantree
Mimosiphonops vermiculatus,Amphibians,amphibiantree
Minyobates steyermarki,Amphibians,amphibiantree
Mixophyes balbus,Amphibians,amphibiantree
Mixophyes carbinensis,Amphibians,amphibiantree
Mixophyes coggeri,Amphibians,amphibiantree
Mixophyes fasciolatus,Amphibians,amphibiantree
Mixophyes fleayi,Amphibians,amphibiantree
Mixophyes hihihorlo,Amphibians,amphibiantree
Mixophyes iteratus,Amphibians,amphibiantree
Mixophyes schevilli,Amphibians,amphibiantree
Morerella cyanophthalma,Amphibians,amphibiantree
Mucubatrachus briceni,Amphibians,amphibiantree
Mucubatrachus culatensis,Amphibians,amphibiantree
Mucubatrachus flabellidiscus,Amphibians,amphibiantree
Mucubatrachus lancinii,Amphibians,amphibiantree
Mucubatrachus peramerus,Amphibians,amphibiantree
Mucubatrachus rhigophilus,Amphibians,amphibiantree
Mucubatrachus thyellus,Amphibians,amphibiantree
Myersiella microps,Amphibians,amphibiantree
Myersiohyla aromatica,Amphibians,amphibiantree
Myersiohyla chamaeleo,Amphibians,amphibiantree
Myersiohyla inparquesi,Amphibians,amphibiantree
Myersiohyla kanaima,Amphibians,amphibiantree
Myersiohyla loveridgei,Amphibians,amphibiantree
Myersiohyla neblinaria,Amphibians,amphibiantree
Myobatrachus gouldii,Amphibians,amphibiantree
Nannophryne apolobambica,Amphibians,amphibiantree
Nannophryne cophotis,Amphibians,amphibiantree
Nannophryne corynetes,Amphibians,amphibiantree
Nannophryne variegata,Amphibians,amphibiantree
Nannophrys ceylonensis,Amphibians,amphibiantree
Nannophrys guentheri,Amphibians,amphibiantree
Nannophrys marmorata,Amphibians,amphibiantree
Nannophrys naeyakai,Amphibians,amphibiantree
Nanorana aenea,Amphibians,amphibiantree
Nanorana annandalii,Amphibians,amphibiantree
Nanorana arnoldi,Amphibians,amphibiantree
Nanorana blanfordii,Amphibians,amphibiantree
Nanorana chayuensis,Amphibians,amphibiantree
Nanorana conaensis,Amphibians,amphibiantree
Nanorana ercepeae,Amphibians,amphibiantree
Nanorana feae,Amphibians,amphibiantree
Nanorana gammii,Amphibians,amphibiantree
Nanorana kangxianensis,Amphibians,amphibiantree
Nanorana liebigii,Amphibians,amphibiantree
Nanorana maculosa,Amphibians,amphibiantree
Nanorana medogensis,Amphibians,amphibiantree
Nanorana minica,Amphibians,amphibiantree
Nanorana mokokchungensis,Amphibians,amphibiantree
Nanorana parkeri,Amphibians,amphibiantree
Nanorana pleskei,Amphibians,amphibiantree
Nanorana polunini,Amphibians,amphibiantree
Nanorana quadranus,Amphibians,amphibiantree
Nanorana rarica,Amphibians,amphibiantree
Nanorana rostandi,Amphibians,amphibiantree
Nanorana taihangnica,Amphibians,amphibiantree
Nanorana unculuanus,Amphibians,amphibiantree
Nanorana ventripunctata,Amphibians,amphibiantree
Nanorana vicina,Amphibians,amphibiantree
Nanorana yunnanensis,Amphibians,amphibiantree
Nasikabatrachus sahyadrensis,Amphibians,amphibiantree
Natalobatrachus bonebergi,Amphibians,amphibiantree
Nectocaecilia petersii,Amphibians,amphibiantree
Nectophryne afra,Amphibians,amphibiantree
Nectophryne batesii,Amphibians,amphibiantree
Nectophrynoides asperginis,Amphibians,amphibiantree
Nectophrynoides cryptus,Amphibians,amphibiantree
Nectophrynoides frontierei,Amphibians,amphibiantree
Nectophrynoides laevis,Amphibians,amphibiantree
Nectophrynoides laticeps,Amphibians,amphibiantree
Nectophrynoides minutus,Amphibians,amphibiantree
Nectophrynoides paulae,Amphibians,amphibiantree
Nectophrynoides poyntoni,Amphibians,amphibiantree
Nectophrynoides pseudotornieri,Amphibians,amphibiantree
Nectophrynoides tornieri,Amphibians,amphibiantree
Nectophrynoides vestergaardi,Amphibians,amphibiantree
Nectophrynoides viviparus,Amphibians,amphibiantree
Nectophrynoides wendyae,Amphibians,amphibiantree
Necturus alabamensis,Amphibians,amphibiantree
Necturus beyeri,Amphibians,amphibiantree
Necturus lewisi,Amphibians,amphibiantree
Necturus maculosus,Amphibians,amphibiantree
Necturus punctatus,Amphibians,amphibiantree
Neobatrachus albipes,Amphibians,amphibiantree
Neobatrachus aquilonius,Amphibians,amphibiantree
Neobatrachus centralis,Amphibians,amphibiantree
Neobatrachus fulvus,Amphibians,amphibiantree
Neobatrachus kunapalari,Amphibians,amphibiantree
Neobatrachus pelobatoides,Amphibians,amphibiantree
Neobatrachus pictus,Amphibians,amphibiantree
Neobatrachus sudelli,Amphibians,amphibiantree
Neobatrachus sutor,Amphibians,amphibiantree
Neobatrachus wilsmorei,Amphibians,amphibiantree
Neurergus crocatus,Amphibians,amphibiantree
Neurergus derjugini,Amphibians,amphibiantree
Neurergus kaiseri,Amphibians,amphibiantree
Neurergus strauchii,Amphibians,amphibiantree
Niceforonia adenobrachia,Amphibians,amphibiantree
Niceforonia columbiana,Amphibians,amphibiantree
Niceforonia nana,Amphibians,amphibiantree
Nimbaphrynoides occidentalis,Amphibians,amphibiantree
Noblella bilineata,Amphibians,amphibiantree
Noblella carrascoicola,Amphibians,amphibiantree
Noblella coloma,Amphibians,amphibiantree
Noblella duellmani,Amphibians,amphibiantree
Noblella heyeri,Amphibians,amphibiantree
Noblella lochites,Amphibians,amphibiantree
Noblella lynchi,Amphibians,amphibiantree
Noblella myrmecoides,Amphibians,amphibiantree
Noblella personina,Amphibians,amphibiantree
Noblella peruviana,Amphibians,amphibiantree
Noblella pygmaea,Amphibians,amphibiantree
Noblella ritarasquinae,Amphibians,amphibiantree
Notaden bennettii,Amphibians,amphibiantree
Notaden melanoscaphus,Amphibians,amphibiantree
Notaden nichollsi,Amphibians,amphibiantree
Notaden weigeli,Amphibians,amphibiantree
