scientificname,group,basetree
Allobates olfersioides,Amphibians,amphibiantree
Allobates ornatus,Amphibians,amphibiantree
Allobates paleovarzensis,Amphibians,amphibiantree
Allobates peruvianus,Amphibians,amphibiantree
Allobates picachos,Amphibians,amphibiantree
Allobates pittieri,Amphibians,amphibiantree
Allobates sanmartini,Amphibians,amphibiantree
Allobates subfolionidificans,Amphibians,amphibiantree
Allobates sumtuosus,Amphibians,amphibiantree
Allobates talamancae,Amphibians,amphibiantree
Allobates trilineatus,Amphibians,amphibiantree
Allobates undulatus,Amphibians,amphibiantree
Allobates vanzolinius,Amphibians,amphibiantree
Allobates wayuu,Amphibians,amphibiantree
Allobates zaparo,Amphibians,amphibiantree
Allopaa barmoachensis,Amphibians,amphibiantree
Allopaa hazarensis,Amphibians,amphibiantree
Allophryne relicta,Amphibians,amphibiantree
Allophryne resplendens,Amphibians,amphibiantree
Allophryne ruthveni,Amphibians,amphibiantree
Alsodes australis,Amphibians,amphibiantree
Alsodes barrioi,Amphibians,amphibiantree
Alsodes coppingeri,Amphibians,amphibiantree
Alsodes gargola,Amphibians,amphibiantree
Alsodes hugoi,Amphibians,amphibiantree
Alsodes igneus,Amphibians,amphibiantree
Alsodes kaweshkari,Amphibians,amphibiantree
Alsodes montanus,Amphibians,amphibiantree
Alsodes monticola,Amphibians,amphibiantree
Alsodes neuquensis,Amphibians,amphibiantree
Alsodes nodosus,Amphibians,amphibiantree
Alsodes norae,Amphibians,amphibiantree
Alsodes pehuenche,Amphibians,amphibiantree
Alsodes tumultuosus,Amphibians,amphibiantree
Alsodes valdiviensis,Amphibians,amphibiantree
Alsodes vanzolinii,Amphibians,amphibiantree
Alsodes verrucosus,Amphibians,amphibiantree
Alsodes vittatus,Amphibians,amphibiantree
Altiphrynoides malcolmi,Amphibians,amphibiantree
Altiphrynoides osgoodi,Amphibians,amphibiantree
Alytes cisternasii,Amphibians,amphibiantree
Alytes dickhilleni,Amphibians,amphibiantree
Alytes maurus,Amphibians,amphibiantree
Alytes muletensis,Amphibians,amphibiantree
Alytes obstetricans,Amphibians,amphibiantree
Amazophrynella bokermanni,Amphibians,amphibiantree
Amazophrynella manaos,Amphibians,amphibiantree
Amazophrynella minuta,Amphibians,amphibiantree
Amazophrynella vote,Amphibians,amphibiantree
Ambystoma altamirani,Amphibians,amphibiantree
Ambystoma amblycephalum,Amphibians,amphibiantree
Ambystoma andersoni,Amphibians,amphibiantree
Ambystoma annulatum,Amphibians,amphibiantree
Ambystoma barbouri,Amphibians,amphibiantree
Ambystoma bishopi,Amphibians,amphibiantree
Ambystoma bombypellum,Amphibians,amphibiantree
Ambystoma californiense,Amphibians,amphibiantree
Ambystoma cingulatum,Amphibians,amphibiantree
Ambystoma dumerilii,Amphibians,amphibiantree
Ambystoma flavipiperatum,Amphibians,amphibiantree
Ambystoma gracile,Amphibians,amphibiantree
Ambystoma granulosum,Amphibians,amphibiantree
Ambystoma jeffersonianum,Amphibians,amphibiantree
Ambystoma laterale,Amphibians,amphibiantree
Ambystoma leorae,Amphibians,amphibiantree
Ambystoma lermaense,Amphibians,amphibiantree
Ambystoma mabeei,Amphibians,amphibiantree
Ambystoma macrodactylum,Amphibians,amphibiantree
Ambystoma maculatum,Amphibians,amphibiantree
Ambystoma mavortium,Amphibians,amphibiantree
Ambystoma mexicanum,Amphibians,amphibiantree
Ambystoma opacum,Amphibians,amphibiantree
Ambystoma ordinarium,Amphibians,amphibiantree
Ambystoma rivulare,Amphibians,amphibiantree
Ambystoma rosaceum,Amphibians,amphibiantree
Ambystoma silvense,Amphibians,amphibiantree
Ambystoma talpoideum,Amphibians,amphibiantree
Ambystoma taylori,Amphibians,amphibiantree
Ambystoma texanum,Amphibians,amphibiantree
Ambystoma tigrinum,Amphibians,amphibiantree
Ambystoma velasci,Amphibians,amphibiantree
Ameerega altamazonica,Amphibians,amphibiantree
Ameerega andina,Amphibians,amphibiantree
Ameerega bassleri,Amphibians,amphibiantree
Ameerega berohoka,Amphibians,amphibiantree
Ameerega bilinguis,Amphibians,amphibiantree
Ameerega boliviana,Amphibians,amphibiantree
Ameerega braccata,Amphibians,amphibiantree
Ameerega cainarachi,Amphibians,amphibiantree
Ameerega erythromos,Amphibians,amphibiantree
Ameerega flavopicta,Amphibians,amphibiantree
Ameerega hahneli,Amphibians,amphibiantree
Ameerega ignipedis,Amphibians,amphibiantree
Ameerega ingeri,Amphibians,amphibiantree
Ameerega labialis,Amphibians,amphibiantree
Ameerega macero,Amphibians,amphibiantree
Ameerega maculata,Amphibians,amphibiantree
Ameerega parvula,Amphibians,amphibiantree
Ameerega pepperi,Amphibians,amphibiantree
Ameerega peruviridis,Amphibians,amphibiantree
Ameerega petersi,Amphibians,amphibiantree
Ameerega picta,Amphibians,amphibiantree
Ameerega planipaleae,Amphibians,amphibiantree
Ameerega pongoensis,Amphibians,amphibiantree
Ameerega pulchripecta,Amphibians,amphibiantree
Ameerega rubriventris,Amphibians,amphibiantree
Ameerega silverstonei,Amphibians,amphibiantree
Ameerega simulans,Amphibians,amphibiantree
Ameerega smaragdina,Amphibians,amphibiantree
Ameerega trivittata,Amphibians,amphibiantree
Ameerega yoshina,Amphibians,amphibiantree
Ameerega yungicola,Amphibians,amphibiantree
Amietia amieti,Amphibians,amphibiantree
Amietia angolensis,Amphibians,amphibiantree
Amietia desaegeri,Amphibians,amphibiantree
Amietia fuscigula,Amphibians,amphibiantree
Amietia inyangae,Amphibians,amphibiantree
Amietia johnstoni,Amphibians,amphibiantree
Amietia lubrica,Amphibians,amphibiantree
Amietia poyntoni,Amphibians,amphibiantree
Amietia quecketti,Amphibians,amphibiantree
Amietia ruwenzorica,Amphibians,amphibiantree
Amietia tenuoplicata,Amphibians,amphibiantree
Amietia umbraculata,Amphibians,amphibiantree
Amietia vandijki,Amphibians,amphibiantree
Amietia vertebralis,Amphibians,amphibiantree
Amietia viridireticulata,Amphibians,amphibiantree
Amietia wittei,Amphibians,amphibiantree
Amietophrynus asmarae,Amphibians,amphibiantree
Amietophrynus blanfordii,Amphibians,amphibiantree
Amietophrynus brauni,Amphibians,amphibiantree
Amietophrynus buchneri,Amphibians,amphibiantree
Amietophrynus camerunensis,Amphibians,amphibiantree
Amietophrynus channingi,Amphibians,amphibiantree
Amietophrynus chudeaui,Amphibians,amphibiantree
Amietophrynus cristiglans,Amphibians,amphibiantree
Amietophrynus danielae,Amphibians,amphibiantree
Amietophrynus djohongensis,Amphibians,amphibiantree
Amietophrynus fuliginatus,Amphibians,amphibiantree
Amietophrynus funereus,Amphibians,amphibiantree
Amietophrynus garmani,Amphibians,amphibiantree
Amietophrynus gracilipes,Amphibians,amphibiantree
Amietophrynus gutturalis,Amphibians,amphibiantree
Amietophrynus kassasii,Amphibians,amphibiantree
Amietophrynus kerinyagae,Amphibians,amphibiantree
Amietophrynus kisoloensis,Amphibians,amphibiantree
Amietophrynus langanoensis,Amphibians,amphibiantree
Amietophrynus latifrons,Amphibians,amphibiantree
Amietophrynus lemairii,Amphibians,amphibiantree
Amietophrynus maculatus,Amphibians,amphibiantree
Amietophrynus mauritanicus,Amphibians,amphibiantree
Amietophrynus pantherinus,Amphibians,amphibiantree
Amietophrynus pardalis,Amphibians,amphibiantree
Amietophrynus perreti,Amphibians,amphibiantree
Amietophrynus poweri,Amphibians,amphibiantree
Amietophrynus rangeri,Amphibians,amphibiantree
Amietophrynus reesi,Amphibians,amphibiantree
Amietophrynus regularis,Amphibians,amphibiantree
Amietophrynus steindachneri,Amphibians,amphibiantree
Amietophrynus superciliaris,Amphibians,amphibiantree
Amietophrynus taiensis,Amphibians,amphibiantree
Amietophrynus togoensis,Amphibians,amphibiantree
Amietophrynus tuberosus,Amphibians,amphibiantree
Amietophrynus turkanae,Amphibians,amphibiantree
Amietophrynus urunguensis,Amphibians,amphibiantree
Amietophrynus villiersi,Amphibians,amphibiantree
Amietophrynus vittatus,Amphibians,amphibiantree
Amietophrynus xeros,Amphibians,amphibiantree
Amolops afghanus,Amphibians,amphibiantree
Amolops akhaorum,Amphibians,amphibiantree
Amolops aniqiaoensis,Amphibians,amphibiantree
Amolops archotaphus,Amphibians,amphibiantree
Amolops assamensis,Amphibians,amphibiantree
Amolops bellulus,Amphibians,amphibiantree
Amolops caelumnoctis,Amphibians,amphibiantree
Amolops chakrataensis,Amphibians,amphibiantree
Amolops chunganensis,Amphibians,amphibiantree
Amolops compotrix,Amphibians,amphibiantree
Amolops cremnobatus,Amphibians,amphibiantree
Amolops cucae,Amphibians,amphibiantree
Amolops daiyunensis,Amphibians,amphibiantree
Amolops daorum,Amphibians,amphibiantree
Amolops formosus,Amphibians,amphibiantree
Amolops gerbillus,Amphibians,amphibiantree
Amolops granulosus,Amphibians,amphibiantree
Amolops hainanensis,Amphibians,amphibiantree
Amolops himalayanus,Amphibians,amphibiantree
